Prot_1,Prot_2
TXLNB,VIM
RAB4A,ZNF830
KRT31,HS6ST1
KRT31,MXD3
KRT31,MAP3K7CL
KRT31,AVPI1
KRT34,MAP3K7CL
CHN1,ACVR1
IL24,PALB2
KIF2A,RPGRIP1L
CAV1,FGFR1OP2
CAV1,DYNLL1
CAV1,SUMO3
CAV1,SUMO2
CAV1,NQO1
CAV1,IGKC
CAV1,CAV2
CAV1,FNDC4
CAV1,CSNK1D
CAV1,CAPN2
CAV1,CAPN1
CAV1,PRPSAP1
CAV1,RAB5C
CAV1,PRPSAP2
CAV1,SLC25A1
CAV1,ACOT7
CAV1,ATIC
CAV1,PPP2CA
CAV1,PHB
CAV1,F2R
CAV1,TRPC1
CAV1,LIMA1
CAV1,YIPF5
CAV1,APP
CAV1,TRIM33
CAV1,MMGT1
CAV1,IGHA1
CAV1,TRAF2
CAV1,GAB1
CAV1,GOLT1B
CAV1,AKR1A1
CAV1,PPM1G
CAV1,DMBT1
CAV1,NPEPPS
CAV1,RAB7A
CAV1,TPT1
CAV1,CSK
CAV1,RHOA
CAV1,FAF2
CAV1,PPARG
CAV1,PTPN1
CAV1,UBE2M
CAV1,UBE2N
CAV1,G6PD
CAV1,TMEM216
CAV1,STK38
CAV1,AGTR1
CAV1,BAG2
CAV1,VAPA
CAV1,KIF14
CAV1,TMSB10
CAV1,VDAC2
CAV1,VDAC1
CAV1,KCNA5
CAV1,KCNA3
CAV1,NEDD8
CAV1,TMEM17
CAV1,DNAJB1
CAV1,P2RY12
CAV1,PHB2
CAV1,DLC1
CAV1,TGFBR1
CAV1,ETFB
CAV1,THRAP3
CAV1,JPT1
CAV1,SORD
CAV1,TARDBP
CAV1,TMEM63B
CAV1,LRP6
CAV1,ESR1
CAV1,TBCA
CAV1,RADIL
CAV1,KIF20A
CAV1,SARS1
CAV1,TMSB4X
CAV1,EGFR
CAV1,USP5
CAV1,CYCS
CAV1,CTNNB1
CAV1,RAB2A
CAV1,ALDH1A3
CAV1,PRPS2
CAV1,ECT2
CAV1,PRPS1
CAV1,CMPK1
CAV1,VIRMA
CAV1,IVNS1ABP
CAV1,ANXA3
CAV1,NOS3
CAV1,ANXA6
CAV1,HSPB1
CAV1,ANLN
CAV1,ESD
CAV1,MTAP
CAV1,SQSTM1
CAV1,TXNDC12
CAV1,FAS
CAV1,SERPINH1
FDFT1,PANX1
EPX,TMEM237
BRCA1,IFI30
BRCA1,KIFC1
BRCA1,UBE2E2
BRCA1,PALB2
BRCA1,FOSL2
BRCA1,TOPBP1
BRCA2,PALB2
ACOT9,RPGRIP1L
KIF23,RPGRIP1L
KIF23,VIM
KIF23,CCDC138
KIF23,GSTM3
ZACN,ERMP1
SKAP1,KSR1
XRCC1,APLF
XRCC5,APLF
XRCC4,APLF
XRCC4,VIM
XRCC6,APLF
SMURF1,ACVR1
EMSY,PALB2
FTL,MPP6
TFRC,CD9
TFRC,RPGRIP1L
RALGPS2,KSR1
KIR3DL3,SLC41A2
IL13RA2,PALB2
TOLLIP,IL1R1
YY1,TESK1
YY1,IL10
YY1,CTTN
INSIG1,TMEM237
MED23,CDK8
HTR6,NF1
OPTN,CNIH3
CCDC33,TXK
APPL2,SUV39H2
