	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
GFI1	2.7570566182771915e-4	3.323063130861167e-4	1.0651072906344055e-3	1.4363124870111666e-4
GFI1B	6.333894315223583e-5	5.032224408282826e-5	5.884282835821425e-5	6.346062924190713e-5
GLI1	1.504609267007088e-4	1.611937904512593e-4	3.8186963466072736e-4	1.3974437646952366e-4
GLI2	1.7635461442320352e-4	1.611635229456723e-4	1.6231257401107648e-4	1.589082285915688e-4
GLI3	1.8144312338010988e-4	1.6985316690959108e-4	1.6501277096683928e-4	1.4705599185716508e-4
GLI4	1.660705118969665e-4	2.7292816172904945e-5	3.373980088567558e-5	8.068570681079758e-5
GLIS1	1.7095279884131006e-4	1.5669087983047792e-4	1.8097865477502737e-4	1.6487162213215477e-4
GLIS2	9.707461911876038e-5	8.379164823824663e-5	1.037538645835891e-4	1.042887578865496e-4
GLIS3	1.4315123572746793e-4	1.3327470039106167e-4	1.478131560512593e-4	4.1301483355509237e-4
GMEB1	1.5306035359881874e-4	1.6415272207623988e-4	1.5617663835254276e-4	1.5017391620736342e-4
GMEB2	6.615479900645334e-5	2.107100508611489e-5	1.1800240021287467e-4	2.7067242136087015e-4
GRHL1	4.77043040591164e-5	1.3958780354648864e-4	3.950352407234118e-5	3.78519903881235e-5
GRHL2	6.0044531924054774e-5	4.465964827909238e-5	4.581291211954145e-5	4.8985309097132403e-5
GSC	2.96453561417351e-5	4.303070955947102e-5	3.620575134893095e-5	3.8712433558106644e-5
GSC2	3.596576928551844e-5	5.0838908452604866e-5	4.395097871393887e-5	3.9985101259666265e-5
GSX1	7.563458441442694e-5	6.903185877745155e-5	8.16193602776776e-5	7.894382194477992e-5
GSX2	7.186453405212323e-5	7.2390834964342e-5	8.87527382730256e-5	7.539676281094994e-5
GTF2B	1.5408521032532633e-3	1.1831867180835249e-3	2.618686157197933e-3	2.3952079134889064e-3
